,Linear Regression,LASSO,Ridge,ElasticNet,Random Forest,Decision Tree,Gradient Boosting,AdaBoost,XGBoost,CatBoost,KNN
MAE,68.23494268334964,68.20055585181484,68.232101028366,68.17525675162689,57.008125,57.71527777777778,48.39200671762974,60.693155536175524,79.66566616444516,57.06481078016685,61.68381894378827
RMSE,129.05277852521647,129.06234065080537,129.05420290205583,129.07524540924524,160.10229247168044,134.40157144694183,126.93673733901223,133.95659897069314,197.953195102097,152.1064978942796,162.78913787488992
R2,0.9155092297042406,0.9154967086055572,0.9155073646167644,0.9154798090347634,0.8699621885021813,0.9083603875332069,0.9182572557599505,0.9089661781213325,0.8012076889234976,0.8826264918717809,0.8655609617090181
