,Linear Regression,LASSO,Ridge,ElasticNet,Random Forest,Decision Tree,Gradient Boosting,AdaBoost,XGBoost,CatBoost,KNN
MAE,77.95199449624079,78.35896754909135,77.84408788716439,76.73763532838086,60.37361780753969,70.85850694444444,56.85070567328524,74.45148473833251,90.52331747728346,63.43490086366627,62.21767751272162
RMSE,169.67602889882565,170.26835764814004,169.93833954034486,170.144609657161,162.86824859314243,168.07603087790747,141.4375534059062,138.5851275472312,209.84378640426394,173.55870285841507,162.90155101866893
R2,0.8539453011702972,0.8529237850206881,0.8534933656083719,0.8531374920478605,0.8654302631463794,0.8566868248565374,0.8985144940241832,0.9025666124077869,0.7766084308031732,0.8471845227699397,0.8653752253246455
